implementation,schedule,chunk_size,threads,points,clusters,ipc,cache_miss_rate,cycles,instructions,cache_references,cache_misses,branch_misses,cpu_utilization
optimized,guided,100,2,100000,10,0,0,,,,,,
optimized,guided,100,4,100000,10,0,0,,,,,,
optimized,guided,100,8,100000,10,0,0,,,,,,
optimized,guided,1000,1,100000,10,0,0,,,,,,
optimized,guided,1000,2,100000,10,0,0,,,,,,
optimized,guided,1000,4,100000,10,0,0,,,,,,
optimized,guided,1000,8,100000,10,0,0,,,,,,
soa,static,100,1,100000,10,0,0,,,,,,
soa,static,100,2,100000,10,0,0,,,,,,
soa,static,100,4,100000,10,0,0,,,,,,
soa,static,100,8,100000,10,0,0,,,,,,
soa,static,1000,1,100000,10,0,0,,,,,,
soa,static,1000,2,100000,10,0,0,,,,,,
soa,static,1000,4,100000,10,0,0,,,,,,
soa,static,1000,8,100000,10,0,0,,,,,,
soa,dynamic,100,1,100000,10,0,0,,,,,,
soa,dynamic,100,2,100000,10,0,0,,,,,,
soa,dynamic,100,4,100000,10,0,0,,,,,,
soa,dynamic,100,8,100000,10,0,0,,,,,,
soa,dynamic,1000,1,100000,10,0,0,,,,,,
soa,dynamic,1000,2,100000,10,0,0,,,,,,
soa,dynamic,1000,4,100000,10,0,0,,,,,,
soa,dynamic,1000,8,100000,10,0,0,,,,,,
soa,guided,100,1,100000,10,0,0,,,,,,
soa,guided,100,2,100000,10,0,0,,,,,,
soa,guided,100,4,100000,10,0,0,,,,,,
soa,guided,100,8,100000,10,0,0,,,,,,
soa,guided,1000,1,100000,10,0,0,,,,,,
soa,guided,1000,2,100000,10,0,0,,,,,,
soa,guided,1000,4,100000,10,0,0,,,,,,
soa,guided,1000,8,100000,10,0,0,,,,,,
