implementation,threads,points,clusters,ai_estimate,achieved_gflops,bandwidth_gbs,ipc,cache_miss_rate,runtime_ms
naive,8,100000,10,1.875,0.00287224,0.0153186,0,0,2088.96
naive,1,100000,10,1.875,0.0207461,0.110646,0,0,289.211
naive,2,100000,10,1.875,0.00681577,0.0363508,0,0,880.312
naive,4,100000,10,1.875,0.00351652,0.0187548,0,0,1706.23
naive,8,100000,10,1.875,0.00282708,0.0150778,0,0,2122.33
naive,1,100000,10,1.875,0.0188735,0.100659,0,0,317.906
naive,2,100000,10,1.875,0.00855786,0.0456419,0,0,701.11
naive,4,100000,10,1.875,0.00344467,0.0183716,0,0,1741.82
naive,8,100000,10,1.875,0.00290981,0.015519,0,0,2061.99
optimized,1,100000,10,1.875,0.0188694,0.100637,0,0,317.975
optimized,2,100000,10,1.875,0.0181293,0.0966898,0,0,330.955
optimized,4,100000,10,1.875,0.0165935,0.0884988,0,0,361.587
optimized,8,100000,10,1.875,0.0268548,0.143226,0,0,223.423
optimized,1,100000,10,1.875,0.0229852,0.122588,0,0,261.037
optimized,2,100000,10,1.875,0.0197464,0.105314,0,0,303.853
optimized,4,100000,10,1.875,0.0186068,0.0992362,0,0,322.463
optimized,8,100000,10,1.875,0.0263214,0.140381,0,0,227.951
optimized,1,100000,10,1.875,0.0188531,0.10055,0,0,318.25
optimized,2,100000,10,1.875,0.0178776,0.0953471,0,0,335.616
optimized,4,100000,10,1.875,0.0194647,0.103812,0,0,308.251
optimized,8,100000,10,1.875,0.0315048,0.168026,0,0,190.447
optimized,1,100000,10,1.875,0.0215737,0.11506,0,0,278.117
optimized,2,100000,10,1.875,0.0171729,0.0915889,0,0,349.387
optimized,4,100000,10,1.875,0.0173935,0.0927654,0,0,344.956
optimized,8,100000,10,1.875,0.0283908,0.151418,0,0,211.336
optimized,1,100000,10,1.875,0.0201403,0.107415,0,0,297.911
optimized,2,100000,10,1.875,0.0165113,0.0880603,0,0,363.387
optimized,4,100000,10,1.875,0.0205494,0.109597,0,0,291.979
optimized,8,100000,10,1.875,0.0327694,0.17477,0,0,183.098
optimized,1,100000,10,1.875,0.0243392,0.129809,0,0,246.516
optimized,2,100000,10,1.875,0.0235717,0.125716,0,0,254.542
optimized,4,100000,10,1.875,0.0201928,0.107695,0,0,297.136
optimized,8,100000,10,1.875,0.0291518,0.155476,0,0,205.819
soa,1,100000,10,2.5,0.0312725,0.12509,0,0,191.862
soa,2,100000,10,2.5,0.0372894,0.149157,0,0,160.904
soa,4,100000,10,2.5,0.0902995,0.361198,0,0,66.4456
soa,8,100000,10,2.5,0.0731065,0.292426,0,0,82.072
soa,1,100000,10,2.5,0.0283433,0.113373,0,0,211.69
soa,2,100000,10,2.5,0.0400356,0.160143,0,0,149.866
soa,4,100000,10,2.5,0.0898526,0.35941,0,0,66.776
soa,8,100000,10,2.5,0.0731969,0.292788,0,0,81.9706
soa,1,100000,10,2.5,0.0255635,0.102254,0,0,234.71
soa,2,100000,10,2.5,0.0360191,0.144076,0,0,166.578
soa,4,100000,10,2.5,0.0785646,0.314258,0,0,76.3703
soa,8,100000,10,2.5,0.0814344,0.325738,0,0,73.6789
soa,1,100000,10,2.5,0.0277398,0.110959,0,0,216.296
soa,2,100000,10,2.5,0.0346772,0.138709,0,0,173.024
soa,4,100000,10,2.5,0.0947894,0.379158,0,0,63.2982
soa,8,100000,10,2.5,0.0953822,0.381529,0,0,62.9048
soa,1,100000,10,2.5,0.0291332,0.116533,0,0,205.951
soa,2,100000,10,2.5,0.0402379,0.160952,0,0,149.113
soa,4,100000,10,2.5,0.0968648,0.387459,0,0,61.942
soa,8,100000,10,2.5,0.0887979,0.355192,0,0,67.5692
soa,1,100000,10,2.5,0.0306141,0.122456,0,0,195.988
soa,2,100000,10,2.5,0.0397599,0.15904,0,0,150.906
soa,4,100000,10,2.5,0.0712422,0.284969,0,0,84.2197
soa,8,100000,10,2.5,0.0753802,0.301521,0,0,79.5965
