implementation,schedule,chunk_size,threads,points,clusters,iterations,runtime_ms,mean_runtime_ms,stddev_ms,speedup,efficiency,ipc,cache_miss_rate,ai_estimate,achieved_gflops,bandwidth_gbs,correct
optimized,guided,1000,8,50000,10,51,60.9589,60.9589,10.2513,1.88165,0.235206,0,0,1.875,0.0492135,0.262472,1
soa,static,100,1,50000,10,61,101.671,101.671,12.6901,1.12818,1.12818,3.39755,0.078616,2.5,0.029507,0.118028,1
soa,static,100,2,50000,10,61,76.5826,76.5826,8.4303,1.49777,0.748884,3.3652,0.0858835,2.5,0.0391734,0.156693,1
soa,static,100,4,50000,10,61,34.2987,34.2987,5.0659,3.34424,0.83606,2.12167,0.0222185,2.5,0.0874669,0.349868,1
soa,static,100,8,50000,10,61,40.6728,40.6728,6.26078,2.82014,0.352517,1.04296,0.00668066,2.5,0.0737593,0.295037,1
soa,static,1000,1,50000,10,61,101.867,101.867,15.0722,1.12601,1.12601,3.39755,0.078616,2.5,0.0294502,0.117801,1
soa,static,1000,2,50000,10,61,76.9741,76.9741,5.93307,1.49015,0.745076,3.3652,0.0858835,2.5,0.0389742,0.155897,1
soa,static,1000,4,50000,10,61,30.4232,30.4232,4.73927,3.77025,0.942562,2.12167,0.0222185,2.5,0.0986089,0.394436,1
soa,static,1000,8,50000,10,61,37.5596,37.5596,3.09951,3.05389,0.381737,1.04296,0.00668066,2.5,0.079873,0.319492,1
soa,dynamic,100,1,50000,10,61,101.02,101.02,13.987,1.13545,1.13545,0,0,2.5,0.029697,0.118788,1
soa,dynamic,100,2,50000,10,61,77.8768,77.8768,7.78567,1.47288,0.73644,0,0,2.5,0.0385224,0.15409,1
soa,dynamic,100,4,50000,10,61,32.4302,32.4302,4.18735,3.53692,0.88423,0,0,2.5,0.0925063,0.370025,1
soa,dynamic,100,8,50000,10,61,29.8734,29.8734,4.84619,3.83964,0.479955,0,0,2.5,0.100424,0.401695,1
soa,dynamic,1000,1,50000,10,61,101.559,101.559,13.5339,1.12942,1.12942,0,0,2.5,0.0295394,0.118158,1
soa,dynamic,1000,2,50000,10,61,80.9675,80.9675,6.89098,1.41666,0.708328,0,0,2.5,0.0370519,0.148208,1
soa,dynamic,1000,4,50000,10,61,30.5678,30.5678,3.96309,3.75241,0.938102,0,0,2.5,0.0981424,0.392569,1
soa,dynamic,1000,8,50000,10,61,31.8949,31.8949,4.13623,3.59629,0.449536,0,0,2.5,0.094059,0.376236,1
soa,guided,100,1,50000,10,61,103.962,103.962,14.6583,1.10332,1.10332,0,0,2.5,0.0288568,0.115427,1
soa,guided,100,2,50000,10,61,77.2496,77.2496,8.69274,1.48484,0.742419,0,0,2.5,0.0388352,0.155341,1
soa,guided,100,4,50000,10,61,30.8937,30.8937,4.34058,3.71283,0.928209,0,0,2.5,0.0971073,0.388429,1
soa,guided,100,8,50000,10,61,33.6893,33.6893,7.33441,3.40473,0.425592,0,0,2.5,0.0890491,0.356196,1
soa,guided,1000,1,50000,10,61,102.199,102.199,13.3783,1.12235,1.12235,0,0,2.5,0.0293545,0.117418,1
soa,guided,1000,2,50000,10,61,76.8928,76.8928,9.5094,1.49173,0.745863,0,0,2.5,0.0390153,0.156061,1
soa,guided,1000,4,50000,10,61,34.181,34.181,4.83119,3.35576,0.83894,0,0,2.5,0.0877682,0.351073,1
