Detected max OpenMP threads: 16

Starting K-Means (sequential baseline)
Points: 50000, Clusters: 10, Max Iterations: 1000

Iteration    9 | reassigned:     1608 | max movement:    19.445633 | time (ms):      1.957
Iteration   10 | reassigned:     1223 | max movement:    13.676613 | time (ms):      1.818
Iteration   11 | reassigned:      958 | max movement:    10.618072 | time (ms):      1.891
Iteration   12 | reassigned:      773 | max movement:     8.334361 | time (ms):      1.959
Iteration   13 | reassigned:      640 | max movement:     6.716498 | time (ms):      1.850
Iteration   14 | reassigned:      531 | max movement:     5.128861 | time (ms):      1.868
Iteration   15 | reassigned:      424 | max movement:     4.910608 | time (ms):      1.821
Iteration   16 | reassigned:      358 | max movement:     4.050521 | time (ms):      1.852
Iteration   17 | reassigned:      276 | max movement:     3.257065 | time (ms):      1.913
Iteration   18 | reassigned:      251 | max movement:     2.764352 | time (ms):      1.785
Iteration   19 | reassigned:      202 | max movement:     2.394247 | time (ms):      1.822
Iteration   20 | reassigned:      177 | max movement:     2.099915 | time (ms):      2.085
Iteration   21 | reassigned:      139 | max movement:     1.662567 | time (ms):      1.846
Iteration   22 | reassigned:      108 | max movement:     1.407719 | time (ms):      1.869
Iteration   23 | reassigned:       87 | max movement:     1.153325 | time (ms):      1.827
Iteration   24 | reassigned:       73 | max movement:     1.097426 | time (ms):      2.371
Iteration   25 | reassigned:       68 | max movement:     0.592274 | time (ms):      2.489
Iteration   26 | reassigned:       55 | max movement:     0.574911 | time (ms):      2.086
Iteration   27 | reassigned:       44 | max movement:     0.483999 | time (ms):      1.928
Iteration   28 | reassigned:       43 | max movement:     0.624748 | time (ms):      1.850
Iteration   29 | reassigned:       43 | max movement:     0.668995 | time (ms):      1.899
Iteration   30 | reassigned:       46 | max movement:     0.912670 | time (ms):      1.814
Iteration   31 | reassigned:       57 | max movement:     1.024880 | time (ms):      1.791
Iteration   32 | reassigned:       55 | max movement:     1.069681 | time (ms):      1.890
Iteration   33 | reassigned:       52 | max movement:     0.745305 | time (ms):      2.515
Iteration   34 | reassigned:       47 | max movement:     0.609299 | time (ms):      1.910
Iteration   35 | reassigned:       47 | max movement:     0.562929 | time (ms):      1.849
Iteration   36 | reassigned:       31 | max movement:     0.392108 | time (ms):      1.905
Iteration   37 | reassigned:       38 | max movement:     0.454827 | time (ms):      2.034
Iteration   38 | reassigned:       30 | max movement:     0.424376 | time (ms):      1.858
Iteration   39 | reassigned:       27 | max movement:     0.388575 | time (ms):      1.846
Iteration   40 | reassigned:       21 | max movement:     0.308642 | time (ms):      1.965
Iteration   41 | reassigned:       16 | max movement:     0.282552 | time (ms):      1.811
Iteration   42 | reassigned:       22 | max movement:     0.264183 | time (ms):      1.897
Iteration   43 | reassigned:       19 | max movement:     0.230444 | time (ms):      2.557
Iteration   44 | reassigned:       20 | max movement:     0.226780 | time (ms):      1.833
Iteration   45 | reassigned:       16 | max movement:     0.239134 | time (ms):      2.023
Iteration   46 | reassigned:       15 | max movement:     0.307046 | time (ms):      1.823
Iteration   47 | reassigned:       14 | max movement:     0.206331 | time (ms):      1.896
Iteration   48 | reassigned:       12 | max movement:     0.153946 | time (ms):      1.841
Iteration   49 | reassigned:        8 | max movement:     0.141003 | time (ms):      1.791
Iteration   50 | reassigned:        4 | max movement:     0.088075 | time (ms):      1.960
Iteration   51 | reassigned:        2 | max movement:     0.057519 | time (ms):      1.788
Iteration   52 | reassigned:        0 | max movement:     0.000000 | time (ms):      1.920

Starting K-Means (sequential baseline)
Points: 50000, Clusters: 10, Max Iterations: 1000

Iteration    1 | reassigned:    50000 | max movement:   198.463080 | time (ms):      1.867
Iteration    2 | reassigned:     8421 | max movement:    59.944949 | time (ms):      2.170
Iteration    3 | reassigned:     3513 | max movement:    38.624975 | time (ms):      1.887
Iteration    4 | reassigned:     2689 | max movement:    28.480559 | time (ms):      1.859
Iteration    5 | reassigned:     2248 | max movement:    21.866558 | time (ms):      2.020
Iteration    6 | reassigned:     1906 | max movement:    18.928731 | time (ms):      1.840
Iteration    7 | reassigned:     1587 | max movement:    16.383393 | time (ms):      1.914
Iteration    8 | reassigned:     1438 | max movement:    13.408756 | time (ms):      1.892
Iteration    9 | reassigned:     1247 | max movement:    11.584877 | time (ms):      1.889
Iteration   10 | reassigned:     1094 | max movement:     9.682253 | time (ms):      2.177
Iteration   11 | reassigned:      914 | max movement:     8.722842 | time (ms):      2.342
Iteration   12 | reassigned:      775 | max movement:     6.756788 | time (ms):      1.926
Iteration   13 | reassigned:      704 | max movement:     6.170147 | time (ms):      1.846
Iteration   14 | reassigned:      607 | max movement:     5.504065 | time (ms):      1.842
Iteration   15 | reassigned:      503 | max movement:     4.839191 | time (ms):      2.255
